id,conversation_id,content,machine,failed_responding,flagged,created_at,ordinality,token_size
3YaO72n8Naxq,joQeZQvy2dpZ,"Hello, what can I do for you?",1,0,0,2024-05-05 20:51:13,0,9
WZdP19oQneKg,joQeZQvy2dpZ,I don’t know how to share your IA calendar program to my application calendar google,0,0,0,2024-05-05 20:51:14,1,16
YqaQ12p7Yanj,joQeZQvy2dpZ,"To add the IA calendar program to your Google Calendar, you can follow these steps: 

1. Ensure you are using your computer (not your phone).
2. Click on this link to access the program calendar: 
   <a href=""https://calendar.google.com/calendar/u/7?cid=Y19hNTcwOGE2ODVmNDMxZWM0ZDE0NDQxYmZkNGZiZmQ5ZDI5Yjk1OTFhM2NmZjM3MGZhZTNhNTdiMjU0YjdlNjAyQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20"">IA Calendar Program</a>.
3. Follow the step-by-step guide or watch the video guide provided in the knowledge base document for assistance.

If you encounter any challenges during this process, please let us know so we can provide further support.",1,0,0,2024-05-05 20:51:15,2,201
LDdwjyOGXb1Y,joQeZxrlvbpZ,"Hello, what can I do for you?",1,0,0,2024-04-22 10:21:18,0,9
jneg5DrlrbwZ,joQeZxrlvbpZ,hello,0,0,0,2024-04-22 10:21:19,1,1
olej2gxoyejN,joQeZxrlvbpZ,Hello! How can we assist you today?,1,0,0,2024-04-22 10:21:20,2,9
xkazm4RWqeJ0,joQeZxrlvbpZ,when we can get our certifications ?,0,0,0,2024-04-22 10:21:35,3,7
w9aAnXwv9bvM,joQeZxrlvbpZ,"You will receive your certificate upon successful completion of the AiCE program. To graduate from the program, you must update us on your employment status, complete and submit all weekly tests and milestones, and finish all your assigned peer reviews. There are a total of 12 assignments to complete over the next 6 weeks of the program. Each week, you need to complete 1 test and 1 milestone and score 75% or above on each. If you have met all these requirements, you should be able to access your certificate on Savana.",1,0,0,2024-04-22 10:21:36,4,110
pnelOkzBjdKB,joQeZxrlvbpZ,i had aleardy submitted all test and milestone and had score above 75 %,0,0,0,2024-04-22 10:22:41,5,16
Mvbmw0A1ReYA,joQeZxrlvbpZ,"Congratulations on completing all your tests and milestones with scores above 75%! If you have fulfilled all the program requirements, you should be on track to receive your certification upon successful completion of the AiCE program. The next step would be to update us on your employment status, as this is a crucial part of the graduation process. Keep up the good work!",1,0,0,2024-04-22 10:22:42,6,71
